Gender,AgeLow,AgeHigh,Low,Normal,High
0,-100000,12,60,85,110
0,12,24,63,88,113
0,24,36,66,91,116
0,36,48,68,93,118
0,48,60,70,95,120
0,60,72,71,96,121
0,72,84,72,97,122
0,84,96,75,99,123
0,96,108,75,100,125
0,108,120,77,102,127
0,120,132,79,104,129
0,132,144,81,106,131
0,144,156,83,108,133
0,156,168,86,111,136
0,168,180,88,113,138
0,180,192,91,116,141
0,192,100000,93,118,143
1,-100000,12,61,86,111
1,12,24,64,88,112
1,24,36,64,89,114
1,36,48,67,91,115
1,48,60,69,93,117
1,60,72,69,94,119
1,72,84,72,96,120
1,84,96,74,98,122
1,96,108,76,100,124
1,108,120,78,102,126
1,120,132,78,103,128
1,132,144,80,105,130
1,144,156,82,107,132
1,156,168,85,109,133
1,168,180,86,110,134
1,180,192,87,111,135
1,192,100000,86,111,136
