Variable,VariableID,Gender,AgeLow,AgeHigh,Low,Normal,High
DBP,1,M,-100000,12,10,37,64
DBP,1,M,12,24,15,42,69
DBP,1,M,24,36,19,46,73
DBP,1,M,36,48,23,50,77
DBP,1,M,48,60,26,53,80
DBP,1,M,60,72,28,55,82
DBP,1,M,72,84,30,57,84
DBP,1,M,84,96,32,59,86
DBP,1,M,96,108,33,60,87
DBP,1,M,108,120,34,61,88
DBP,1,M,120,132,34,61,88
DBP,1,M,132,144,35,62,89
DBP,1,M,144,156,35,62,89
DBP,1,M,156,168,36,63,90
DBP,1,M,168,180,37,64,91
DBP,1,M,180,192,38,65,92
DBP,1,M,192,100000,40,67,94
DBP,1,F,-100000,12,15,40,65
DBP,1,F,12,24,20,45,70
DBP,1,F,24,36,24,49,74
DBP,1,F,36,48,27,52,77
DBP,1,F,48,60,29,54,79
DBP,1,F,60,72,31,56,81
DBP,1,F,72,84,32,57,82
DBP,1,F,84,96,33,58,83
DBP,1,F,96,108,34,59,84
DBP,1,F,108,120,34,60,86
DBP,1,F,120,132,35,61,87
DBP,1,F,132,144,36,62,88
DBP,1,F,144,156,37,63,89
DBP,1,F,156,168,38,64,90
DBP,1,F,168,180,39,65,91
DBP,1,F,180,192,41,66,91
DBP,1,F,192,100000,41,66,91
SBP,2,M,-100000,12,60,85,110
SBP,2,M,12,24,63,88,113
SBP,2,M,24,36,66,91,116
SBP,2,M,36,48,68,93,118
SBP,2,M,48,60,70,95,120
SBP,2,M,60,72,71,96,121
SBP,2,M,72,84,72,97,122
SBP,2,M,84,96,75,99,123
SBP,2,M,96,108,75,100,125
SBP,2,M,108,120,77,102,127
SBP,2,M,120,132,79,104,129
SBP,2,M,132,144,81,106,131
SBP,2,M,144,156,83,108,133
SBP,2,M,156,168,86,111,136
SBP,2,M,168,180,88,113,138
SBP,2,M,180,192,91,116,141
SBP,2,M,192,100000,93,118,143
SBP,2,F,-100000,12,61,86,111
SBP,2,F,12,24,64,88,112
SBP,2,F,24,36,64,89,114
SBP,2,F,36,48,67,91,115
SBP,2,F,48,60,69,93,117
SBP,2,F,60,72,69,94,119
SBP,2,F,72,84,72,96,120
SBP,2,F,84,96,74,98,122
SBP,2,F,96,108,76,100,124
SBP,2,F,108,120,78,102,126
SBP,2,F,120,132,78,103,128
SBP,2,F,132,144,80,105,130
SBP,2,F,144,156,82,107,132
SBP,2,F,156,168,85,109,133
SBP,2,F,168,180,86,110,134
SBP,2,F,180,192,87,111,135
SBP,2,F,192,100000,86,111,136
HR,8,,-100000,0,90,127,164
HR,8,,0,3,107,143,181
HR,8,,3,6,104,140,175
HR,8,,6,9,98,134,168
HR,8,,9,12,93,128,161
HR,8,,12,18,88,123,156
HR,8,,18,24,82,116,149
HR,8,,24,36,76,110,142
HR,8,,36,48,70,104,136
HR,8,,48,72,65,98,131
HR,8,,72,96,59,91,123
HR,8,,96,144,52,84,115
HR,8,,144,180,47,78,108
HR,8,,180,100000,43,73,104
RR,10,,-100000,3,25,43,66
RR,10,,3,6,24,41,64
RR,10,,6,9,23,39,61
RR,10,,9,12,22,37,58
RR,10,,12,18,21,35,53
RR,10,,18,24,19,31,46
RR,10,,24,36,18,28,38
RR,10,,36,48,17,25,33
RR,10,,48,72,17,23,29
RR,10,,72,96,16,21,27
RR,10,,96,144,14,19,25
RR,10,,144,180,12,18,23
RR,10,,180,100000,11,16,22
