VariableID,Label,Abbreviation,Units,Type,AgeDependent,SignificantIfMissing,Low,Normal,High,OldLow,OldNormal,OldHigh,NormalRangeLow,NormalRangeHigh,Approx. distribution,Details
1,Blood pressure (diastolic),dbp,mmHg,integer,yes,no,10,66,200,10,66,200,,,Gaussian; mean 55.42; sd 16.50,
2,Blood pressure (systolic),sbp,mmHg,integer,yes,no,20,111,300,20,111,300,,,Gaussian; mean 103.92; sd 22.01,
3,Capillary refill rate (peripheral),pcrr,sec,integer,no,no,0,1,10,0,1,30,0,2,not Gauss; highly bucketed; median 2; mode 2,By 0 we mean immediate refill
4,End-tidal CO2,etco,mmHg,integer,no,yes,0,35,200,0,40,300,35,45,Gaussian; mean 38.37; sd 9.77,missing => patient not ventilated? not ventilated => ~35
5,Fraction inspired O2,fio,-,decimal,no,yes,0,0.21,1,0.21,0.21,1,0.21,0.21,not Gauss; highly bucketed; median 0.4; mode 0.4,If missing => patient not ventilated? not ventilated => ~0.21
6,Total Glascow coma score,tgcs,-,ordinal,no,maybe,0,13,15,3,13,15,13,13,discrete categories (multinomial?); median 11; mode 11,
7,Glucose,gluc,-,integer,no,maybe,0,100,1200,1,100,1700,80,120,sort of a shifted gamma?; mean 136.61; sd 66.41; median 119,
8,Heart Rate,hr,bpm,integer,yes,no,0,73,300,0,73,300,,,Gaussian! Really nice; mean 123.13; sd 28.55,better range: 30-250? need to check monitor specs to make sure of min/max; range; etc.
9,pH,pha,-,decimal,no,yes,6.4,7.4,7.8,5.8,7.4,7.9,7.35,7.45,almost gaussian / gamma; mean 7.37; sd 0.10,
10,Respiratory Rate,rr,bpm,integer,yes,no,0,16,120,0,16,120,,,almost Gaussian; mean 26.37; sd 10.36; median 25,more realistic valid minimum 4?
11,Blood Oxygen Saturation (SaO2),pox,%,integer,no,no,0,97.5,100,0,97.5,100,70 (cardiac patient) / 95,100,pseudo exponential; median 97; mode 100?,more realistic valid minimum 50?
12,Temperature,temp,C,decimal,no,no,30,37.5,45,23,37.5,45,36.5,38,Gaussian; mean 37.20; sd 0.78,
13,Urine output,uo,cc/kg/hr,decimal,no,no,0,2.5,50,0,2.5,150,2,3,pseudo inverse exponential; median 2.4; mode ~1,
